ID,Name_ID,Old_ID,Type,Grade,Make,Model,Picture,Serial_Number,Price,Stored_In,Dept
29,638,638,CLARINET-Bb,grade,no label,0,img,H7358/715,250,41,1
30,639,639,CLARINET-Bb,grade,Buffet ,C12,img,256285,535,24,1
31,640,640,CLARINET-Bb,grade,Bundy,0,img,184453,200,30,1
32,641,641,CLARINET-Bb,grade,Bundy--Resonite/Selmer,0,img,595489,175,7,1
33,2221,2221,CLARINET-Bb,grade,Buffett,CLBUR13 // bc1131-5,img,453234,2165,27,1
34,2399,2399,CLARINET-Bb,grade,Buffet Crampon & Cie,BC1131-5,img,462537,,26,1
35,3756,3756,CLARINET-Bb,grade,Yamaha,YCL-450,img,21310781,2130,12,1
36,635,635,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3327/433,270,9,1
37,636,636,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3084/435,270,17,1
38,637,637,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3101/434,270,18,1
39,2473,2473,CLARINET-A,grade,Buffet Crampon & Cie,PL 1231-5-0,img,440875,1945,28,1
40,2474,2474,CLARINET-A,grade,Buffet Crampon & Cie,PL 1231-5-0,img,440894,1945,29,1
41,973,973,CLARINET-Eb,grade,Buffet ,R-13,img,293452,2325,22,1
42,3217,3217,CLARINET-Eb,grade,Buffet ,BC1507-2-0,img,542175,5134,11,1
43,642,642,CLARINET-Bass,grade,Yamaha,YCL-621 ,img,O2337,2257,52,1
44,2715,2715,CLARINET-Bass,grade,Buffet,Prestige 400,img,35330,4446,129,1
45,2336,2336,CLARINET-Contrabass,grade,Vito,CLVI7182,img,4782E,2695,153,1
46,631,631,BASSOON,grade,Tam,0,img,6656/501,480,204,1
47,632,632,BASSOON,grade,Kohlert,0,img,249071/508,500,212,1
48,633,633,BASSOON,grade,Schreiber,554  -  with Whisper key,img,17980/508.1,1332,71,1
49,2247,2247,BASSOON,grade,Fox,Renard 220 Artist,img,29257,5123,215,1
50,2881,2881,BASSOON,grade,Fox Renard,III,img,33879,3775,69,1
51,5504,5504,BASSOON,grade,Fox,Renard 222,img,68762,7425,68,1
52,643,643,English Horn,grade,Noblet,0,img,83/429,480,31,1
53,2510,2510,English Horn,grade,Fox,510,img,135,5500,178,1
54,189,189,OBOE,grade,Fox,330,img,13298,2600,40,1
55,646,646,OBOE,grade,Caputo,0,img,11936/425,600,0,1
56,647,647,OBOE,grade,Rigoutat,0,img,023x,600,0,1
57,3296,3296,OBOE,grade,Loreé,c+3,img,QP 42,6727,42,1
58,42,42,SAX-Alto,grade,Bundy/Selmer,0,img,689025,700,205,1
59,648,648,SAX-Alto,grade,Buescher/Elkhart - Indiana,0,img,86421-21A,500,202,1
60,649,649,SAX-Alto,grade,Buescher,Aristocrat,img,692245,700,196,1
61,3456,3456,SAX-Alto,grade,Yamaha,YAS-23,img,256720A,500,196,1
62,3457,3457,SAX-Alto,grade,Yamaha,YAS-62II ,img,0,3918,174,1
63,3680,3680,SAX-Alto,grade,Yamaha,YAS-480,img,21T85304,2390,60,1
64,3681,3681,SAX-Alto,grade,Yamaha,YAS-480,img,21T85515,2390,61,1
