ID,Name_ID,Old_ID,Type,Grade,Make,Model,Picture,Serial_Number,Price,Stored_In,Dept
1,301,301,Baritone Horn-EUPHONIUM,grade,Gold Star,0,img,23064 (713),100.0,0,1
2,2187,2187,Baritone Horn-EUPHONIUM,grade,Conn,19I Connstellation,img,560783,4500.0,125,1
3,2216,2216,Baritone Horn-EUPHONIUM,grade,Bach,EUBA1110,img,1483,1595.0,170,1
4,5005,5005,RENTAL EUPHONIUM,grade,King,2280,img,979267,,131,1
5,310,310,Trombone,grade,Holton,0,img,Bell: 99016 (705); Slide: 101416,100.0,48,1
6,311,311,TROMBONE-Tenor,grade,Yamaha,YSL-352s,img,Bell: 017399; Slide: 405549,500.0,85,1
7,2218,2218,TROMBONE-Tenor,grade,Bach,TRBA36BO,img,138865,1500.0,87,1
8,2217,2217,TROMBONE-Bass,grade,Bach,TRBA50B30,img,144568,2130.0,86,1
9,314,314,TUBA,grade,Yamaha,YBB201,img,002114  (630?),675.0,195,1
10,2225,2225,TUBA,grade,Yamaha,TUYAYBB641,img,14436,4925.0,185,1
11,5500,5500,TUBA,grade,Miraphone,Bbb 191,img,9038516,12439.0,189,1
12,2025,2025,Euphonium ,grade,Wessex,Bb Dolce EP100,img,,,126,1
13,43,43,Trumpet D - Eb,grade,Yamaha,YTR 6610S,img,1632,1545.0,46,1
14,44,44,Trumpet D - Eb,grade,Yamaha,YTR 6610S,img,1652,1545.0,47,1
15,312,312,Trumpet Bb,grade,Le Blanc,0,img,10402,375.0,214,1
16,313,313,Trumpet Bb,grade,Holton and Co.,Al Hirt special,img,444532,200.0,197,1
17,2222,2222,Trumpet Bb,grade,Bach,TRBA180S37,img,500255,1340.0,65,1
18,2712,2712,Trumpet Bb,grade,Bach,TRBA180S37,img,557004,1400.0,208,1
19,974,974,FLUGELHORN,grade,Yamaha,YFH-631,img,008801A,895.0,75,1
20,4013,4013,FLUGELHORN,grade,Yamaha,YFH-631G,img,456541,1550.0,75,1
21,302,302,French horn,grade,Conn,6D,img,618422 (601); in case #602,425.0,0,1
22,303,303,French horn,grade,Conn,0,img,E-10702 (602); in case #601    ,650.0,83,1
23,304,304,French horn,grade,Conn,200D,img,N40192,800.0,82,1
24,2223,2223,French horn,grade,Holton,HOHOH179,img,669161,2289.0,173,1
25,2396,2396,French horn,grade,Holton,HOHOH179,img,675590,200.0,149,1
26,2711,2711,French horn,grade,Holton,HOHOH179,img,680737,2385.0,169,1
27,3578,3578,French horn,grade,Conn,8D,img,L97532,3565.0,167,1
28,3579,3579,French horn,grade,Conn,8D,img,L68628,3975.0,168,1
29,638,638,CLARINET-Bb,grade,no label,0,img,H7358/715,250.0,41,1
30,639,639,CLARINET-Bb,grade,Buffet ,C12,img,256285,535.0,24,1
